iter	Passed	Remaining
181	716	3218
182	719	3211
183	722	3203
184	725	3196
185	728	3188
186	731	3181
187	734	3174
188	738	3166
189	741	3160
190	744	3151
191	747	3144
192	750	3137
193	753	3130
194	756	3123
195	759	3117
196	763	3110
197	766	3103
198	769	3097
199	772	3090
200	775	3083
201	778	3077
202	781	3069
203	785	3063
204	787	3055
205	791	3049
206	794	3043
207	797	3037
208	800	3031
209	803	3024
210	807	3018
211	810	3010
212	813	3005
213	816	2998
214	819	2992
215	822	2985
216	825	2979
217	828	2972
218	831	2966
219	835	2960
220	839	2958
221	842	2952
222	845	2946
223	848	2940
224	852	2935
225	855	2928
226	858	2922
227	861	2917
228	864	2911
229	867	2905
230	871	2899
231	874	2893
232	877	2888
233	880	2882
234	883	2876
235	886	2870
236	889	2864
237	892	2859
238	895	2852
239	899	2846
240	902	2840
241	905	2835
242	908	2829
243	911	2824
244	914	2818
245	917	2812
246	921	2807
247	924	2802
248	927	2797
249	930	2791
250	933	2785
251	936	2780
252	939	2774
253	943	2769
254	946	2764
255	949	2758
256	952	2753
257	955	2748
258	958	2743
259	961	2737
260	965	2732
261	967	2726
262	971	2722
263	974	2717
264	977	2712
265	981	2707
266	984	2701
267	987	2696
268	990	2690
269	993	2685
270	996	2680
271	999	2675
272	1002	2670
273	1005	2665
274	1009	2660
275	1012	2655
276	1015	2650
277	1018	2645
278	1021	2640
279	1025	2635
280	1028	2630
281	1031	2625
282	1034	2621
283	1038	2617
284	1041	2612
285	1044	2606
286	1047	2601
287	1050	2596
288	1053	2591
289	1056	2586
290	1059	2582
291	1062	2577
292	1065	2572
293	1069	2567
294	1072	2562
295	1075	2557
296	1079	2554
297	1082	2549
298	1085	2544
299	1088	2539
300	1091	2535
301	1094	2530
302	1097	2525
303	1101	2521
304	1104	2516
305	1107	2512
306	1111	2508
307	1114	2504
308	1117	2499
309	1120	2494
310	1123	2489
311	1127	2485
312	1130	2480
313	1133	2475
314	1136	2471
315	1139	2467
316	1143	2462
317	1146	2458
318	1149	2453
319	1152	2448
320	1155	2444
321	1159	2440
322	1162	2436
323	1165	2431
324	1168	2427
325	1171	2422
326	1174	2418
327	1178	2413
328	1181	2408
329	1184	2404
330	1187	2399
331	1190	2395
332	1193	2390
333	1196	2385
334	1199	2380
335	1202	2375
336	1205	2371
337	1208	2366
338	1211	2362
339	1214	2358
340	1217	2353
341	1220	2348
342	1223	2344
343	1227	2339
344	1230	2335
345	1233	2331
346	1237	2328
347	1240	2324
348	1243	2319
349	1246	2315
350	1250	2311
351	1253	2307
352	1256	2303
353	1260	2299
354	1263	2295
355	1266	2290
356	1269	2286
357	1272	2281
358	1275	2277
359	1278	2273
360	1282	2269
361	1285	2265
362	1288	2260
363	1291	2256
364	1294	2252
365	1298	2248
366	1301	2244
367	1304	2239
368	1307	2235
369	1310	2230
370	1313	2226
371	1316	2221
372	1319	2217
373	1322	2213
374	1325	2208
375	1328	2204
376	1331	2200
377	1334	2195
378	1337	2191
379	1340	2186
380	1343	2182
381	1346	2178
382	1349	2173
383	1352	2169
384	1355	2165
385	1358	2160
386	1361	2157
387	1365	2153
388	1368	2149
389	1371	2144
390	1374	2140
391	1377	2136
392	1380	2132
393	1384	2128
394	1387	2124
395	1390	2120
396	1393	2116
397	1396	2112
398	1399	2108
399	1402	2104
400	1406	2100
401	1409	2096
402	1412	2092
403	1415	2088
404	1418	2084
405	1421	2080
406	1425	2076
407	1428	2072
408	1431	2068
409	1435	2065
410	1438	2061
411	1441	2057
412	1445	2053
413	1448	2049
414	1451	2045
415	1454	2041
416	1457	2037
417	1460	2033
418	1463	2029
419	1467	2025
420	1470	2021
421	1473	2017
422	1476	2014
423	1479	2009
424	1482	2005
425	1485	2001
426	1488	1997
427	1492	1994
428	1495	1990
429	1498	1986
430	1501	1982
431	1504	1978
