iter	Passed	Remaining
595	4695	3182
596	4702	3174
597	4710	3166
598	4718	3158
599	4726	3150
600	4733	3142
601	4741	3134
602	4749	3126
603	4756	3118
604	4764	3110
605	4771	3102
606	4778	3093
607	4786	3085
608	4793	3077
609	4801	3069
610	4808	3061
611	4816	3053
612	4823	3045
613	4831	3037
614	4838	3028
615	4846	3021
616	4854	3013
617	4861	3005
618	4868	2996
619	4876	2988
620	4883	2980
621	4890	2972
622	4898	2964
623	4905	2956
624	4913	2947
625	4920	2939
626	4927	2931
627	4935	2923
628	4942	2915
629	4950	2907
630	4957	2899
631	4964	2891
632	4972	2883
633	4980	2875
634	4987	2867
635	4995	2859
636	5003	2851
637	5011	2843
638	5018	2835
639	5026	2827
640	5033	2819
641	5041	2811
642	5048	2803
643	5056	2795
644	5064	2787
645	5071	2779
646	5079	2771
647	5087	2763
648	5095	2756
649	5103	2748
650	5111	2740
651	5118	2732
652	5127	2724
653	5134	2716
654	5142	2708
655	5150	2700
656	5157	2692
657	5164	2684
658	5172	2676
659	5179	2668
660	5187	2660
661	5195	2652
662	5202	2644
663	5210	2636
664	5218	2628
665	5226	2620
666	5233	2612
667	5241	2604
668	5249	2597
669	5257	2589
670	5264	2581
671	5272	2573
672	5279	2565
673	5287	2557
674	5295	2549
675	5303	2541
676	5310	2533
677	5318	2525
678	5326	2518
679	5334	2510
680	5341	2502
681	5348	2493
682	5356	2485
683	5363	2478
684	5371	2470
685	5378	2462
686	5386	2454
687	5394	2446
688	5402	2438
689	5410	2430
690	5417	2422
691	5425	2414
692	5432	2406
693	5440	2398
694	5448	2391
695	5455	2382
696	5463	2374
697	5470	2366
698	5478	2358
699	5485	2350
700	5493	2342
701	5500	2335
702	5508	2327
703	5515	2319
704	5523	2311
705	5531	2303
706	5539	2295
707	5546	2287
708	5554	2279
709	5561	2271
710	5569	2263
711	5577	2255
712	5584	2248
713	5592	2240
714	5600	2232
715	5607	2224
716	5615	2216
717	5622	2208
718	5630	2200
719	5638	2192
720	5646	2184
721	5654	2177
722	5661	2169
723	5669	2161
724	5676	2153
725	5683	2145
726	5691	2137
727	5698	2129
728	5706	2121
729	5714	2113
730	5721	2105
731	5729	2097
732	5737	2089
733	5744	2081
734	5752	2073
735	5759	2066
736	5767	2058
737	5775	2050
738	5783	2042
739	5791	2034
740	5798	2026
741	5806	2018
742	5813	2010
743	5821	2003
744	5828	1995
745	5836	1987
746	5844	1979
747	5852	1971
748	5859	1963
749	5867	1955
750	5874	1947
751	5881	1939
752	5889	1931
753	5897	1924
754	5904	1916
755	5912	1908
756	5920	1900
757	5928	1892
758	5936	1884
759	5943	1877
760	5951	1869
761	5958	1861
762	5966	1853
763	5973	1845
764	5981	1837
765	5988	1829
766	5996	1821
767	6004	1813
768	6011	1805
769	6019	1797
770	6026	1790
771	6034	1782
772	6042	1774
773	6051	1767
774	6059	1759
775	6067	1751
776	6075	1743
777	6083	1735
778	6090	1727
779	6099	1720
780	6106	1712
781	6114	1704
782	6121	1696
783	6129	1688
784	6136	1680
785	6144	1672
786	6151	1664
787	6159	1657
788	6166	1649
789	6173	1641
790	6180	1633
791	6188	1625
792	6196	1617
793	6204	1609
794	6211	1601
795	6219	1594
796	6227	1586
797	6234	1578
798	6242	1570
799	6250	1562
800	6257	1554
801	6265	1546
802	6272	1538
803	6280	1531
804	6288	1523
805	6295	1515
806	6303	1507
807	6311	1499
808	6318	1491
809	6327	1484
810	6334	1476
811	6342	1468
812	6349	1460
813	6357	1452
814	6365	1444
815	6372	1436
816	6379	1428
817	6386	1421
818	6394	1413
819	6402	1405
820	6410	1397
821	6417	1389
822	6424	1381
823	6432	1373
824	6440	1366
825	6447	1358
826	6455	1350
827	6463	1342
828	6470	1334
829	6478	1326
830	6485	1318
831	6492	1311
832	6500	1303
833	6507	1295
834	6515	1287
835	6522	1279
836	6530	1271
837	6538	1263
838	6545	1256
839	6553	1248
840	6560	1240
841	6568	1232
842	6575	1224
843	6583	1216
844	6591	1209
845	6599	1201
846	6607	1193
847	6614	1185
848	6622	1177
849	6629	1169
850	6637	1162
851	6645	1154
852	6652	1146
853	6660	1138
854	6667	1130
855	6675	1123
856	6683	1115
857	6690	1107
858	6698	1099
859	6706	1091
860	6713	1083
861	6721	1076
862	6729	1068
863	6736	1060
864	6744	1052
865	6752	1044
866	6760	1037
867	6767	1029
868	6775	1021
869	6782	1013
870	6790	1005
871	6798	997
872	6805	990
873	6812	982
874	6820	974
875	6827	966
876	6835	958
877	6842	950
878	6849	942
879	6857	935
880	6865	927
881	6872	919
882	6879	911
883	6887	903
884	6894	895
885	6902	888
886	6910	880
887	6918	872
888	6926	864
889	6934	857
890	6941	849
891	6949	841
892	6956	833
893	6964	825
894	6971	817
895	6978	810
896	6986	802
897	6993	794
898	7001	786
899	7009	778
900	7016	770
901	7024	763
902	7031	755
903	7039	747
904	7046	739
905	7054	731
906	7061	724
907	7071	716
908	7079	708
909	7087	700
910	7094	693
911	7102	685
912	7117	678
913	7124	670
914	7131	662
915	7139	654
916	7147	646
917	7154	639
918	7162	631
919	7169	623
920	7177	615
921	7184	607
922	7192	600
923	7200	592
924	7208	584
925	7215	576
926	7223	568
927	7230	561
928	7238	553
929	7246	545
930	7253	537
931	7260	529
932	7268	521
933	7275	514
934	7283	506
935	7290	498
936	7298	490
937	7305	482
938	7312	475
939	7319	467
940	7327	459
941	7334	451
942	7342	443
943	7349	436
944	7357	428
945	7364	420
946	7372	412
947	7380	404
948	7387	397
949	7394	389
950	7402	381
951	7409	373
952	7418	365
953	7426	358
954	7433	350
955	7441	342
956	7448	334
957	7456	326
958	7463	319
959	7472	311
960	7479	303
961	7487	295
962	7494	287
963	7502	280
964	7509	272
965	7517	264
966	7524	256
967	7532	248
968	7539	241
969	7547	233
970	7554	225
971	7562	217
972	7570	210
973	7577	202
974	7585	194
975	7593	186
976	7600	178
977	7608	171
978	7615	163
979	7623	155
980	7630	147
981	7637	139
982	7644	132
983	7652	124
984	7660	116
985	7667	108
986	7675	101
987	7683	93
988	7691	85
989	7699	77
990	7706	69
991	7714	62
992	7722	54
993	7730	46
994	7737	38
995	7745	31
996	7753	23
997	7760	15
998	7767	7
999	7775	0
